Course Code,Professor,Quarter,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
CHEM 6CH,"Kubiak, Clifford Paul",SP21,53,80.6%,83.3%,6.24,A- (3.84)
,"Kubiak, Clifford Paul",SP20,44,84.6%,92.3%,6.96,A- (3.79)
,"Kubiak, Clifford Paul",SP19,59,83.3%,90.0%,6.44,B (3.28)
,"Kubiak, Clifford Paul",SP18,72,86.1%,80.6%,5.47,B (3.23)
,"Kubiak, Clifford Paul",SP16,91,78.6%,90.5%,6.55,B+ (3.54)
,"Kubiak, Clifford Paul",SP15,71,91.9%,91.9%,6.93,B (3.27)
,"Kubiak, Clifford Paul",SP14,85,82.2%,88.9%,6.32,B+ (3.42)
,"Kubiak, Clifford Paul",SP13,56,80.8%,88.5%,7.12,B (3.15)
,"Kubiak, Clifford Paul              ",SP12,75,79.4%,88.2%,7.79,B+ (3.34)
,"Kubiak, Clifford Paul              ",SP11,73,79.5%,90.9%,6.45,B+ (3.34)
,"Cohen, Seth M                      ",SP10,87,88.9%,98.6%,6.28,B- (2.77)
,"Hoeger, Carl                       ",SP09,64,94.5%,100.0%,4.61,B+ (3.37)
,"Cohen, Seth M                 ",SP08,119,97.0%,98.0%,4.72,B- (2.80)
CHEM 142,"Esko, Jeffrey D.",FA21,43,82.4%,94.1%,6.85,A- (3.73)
,"Esko, Jeffrey D.",FA20,32,100.0%,100.0%,6.50,B+ (3.68)
,"Esko, Jeffrey D.",FA19,21,100.0%,100.0%,4.00,A- (3.89)
,"Esko, Jeffrey D.",FA18,16,80.0%,100.0%,4.10,N/A
,"Esko, Jeffrey D.",WI18,8,100.0%,100.0%,5.17,N/A
,"Godula, Kamil",FA21,43,82.4%,100.0%,6.85,A- (3.73)
,"Godula, Kamil",FA20,32,100.0%,100.0%,6.50,B+ (3.68)
,"Godula, Kamil",FA19,21,100.0%,100.0%,4.00,A- (3.89)
,"Godula, Kamil",FA18,14,80.0%,100.0%,4.10,N/A
,"Godula, Kamil",WI18,8,100.0%,100.0%,5.17,N/A
,"Gordts, Philip",FA21,43,82.4%,88.2%,6.85,A- (3.73)
CHEM 143C,"Ternansky, Robert J.",FA21,77,92.0%,92.0%,7.30,B+ (3.30)
,"Ternansky, Robert J.",FA20,101,76.6%,72.3%,8.37,B+ (3.33)
,"Ternansky, Robert J.",FA19,60,100.0%,96.2%,5.35,B (3.29)
,"Ternansky, Robert J.",FA18,63,87.5%,91.3%,6.58,B+ (3.38)
,"Ternansky, Robert J.",FA17,66,83.9%,90.0%,6.13,B+ (3.40)
,"Ternansky, Robert J.",FA16,53,90.9%,72.7%,8.39,B (3.20)
,"Ternansky, Robert J.",FA14,73,92.3%,100.0%,8.35,B (3.29)
,"Ternansky, Robert J.",FA13,83,97.6%,95.2%,8.01,B+ (3.43)
,"Ternansky, Robert J.",FA12,86,87.7%,93.0%,7.37,B+ (3.40)
,"Albizati, Kim F.",FA15,66,96.7%,100.0%,6.17,B (3.29)
,"Ternansky, Robert J.               ",FA11,82,90.2%,97.6%,7.79,B+ (3.37)
,"Ternansky, Robert J.               ",FA10,73,94.2%,98.1%,6.74,B (3.15)
,"Ternansky, Robert J.               ",FA09,71,90.5%,96.8%,5.71,B (3.21)
,"Ternansky, Robert J.               ",FA08,109,87.6%,90.7%,7.41,B (3.29)
,"Ternansky, Robert J.          ",FA07,104,94.5%,95.9%,6.72,B+ (3.35)
CHEM 141,"Gianneschi, Nathan",SP17,13,100.0%,100.0%,3.50,N/A
,"Gianneschi, Nathan",WI16,3,100.0%,100.0%,4.50,N/A
CHEM 146,"Perrin, Charles L.",SP16,7,100.0%,100.0%,9.50,N/A
,"Perrin, Charles L.",SP14,22,75.0%,87.5%,3.25,B+ (3.42)
,"Perrin, Charles L.                 ",WI12,10,100.0%,100.0%,8.10,N/A
,"Perrin, Charles L.                 ",WI10,10,80.0%,100.0%,6.50,N/A
CHEM 143D,"Weizman, Haim",FA18,16,100.0%,100.0%,9.93,N/A
,"Weizman, Haim",FA16,9,100.0%,100.0%,8.90,N/A
,"Weizman, Haim",FA15,9,100.0%,100.0%,7.17,N/A
,"Weizman, Haim",SP14,13,80.0%,80.0%,8.00,N/A
,"Weizman, Haim",SP13,16,100.0%,100.0%,11.17,N/A
,"Weizman, Haim                      ",SP11,15,100.0%,100.0%,8.94,N/A
,"Weizman, Haim                      ",SP10,15,100.0%,100.0%,12.50,N/A
CHEM 145,"Burkart, Michael D",WI20,15,100.0%,100.0%,3.59,N/A
,"Burkart, Michael D",WI17,11,100.0%,100.0%,3.61,N/A
,"Burkart, Michael D",WI15,7,100.0%,100.0%,6.50,N/A
,"Burkart, Michael D",WI14,19,100.0%,88.9%,5.17,N/A
CHEM 143B,"Ternansky, Robert J.",S121,41,50.0%,41.7%,9.00,B- (2.94)
,"Ternansky, Robert J.",SP21,108,69.8%,53.5%,6.45,B+ (3.35)
,"Ternansky, Robert J.",WI21,134,59.3%,47.5%,7.96,B+ (3.53)
,"Ternansky, Robert J.",S120,56,92.3%,92.3%,9.73,B+ (3.34)
,"Ternansky, Robert J.",SP20,110,71.7%,59.1%,7.42,B+ (3.50)
,"Ternansky, Robert J.",SP19,129,75.4%,54.4%,7.45,B (3.25)
,"Ternansky, Robert J.",WI19,89,88.6%,82.4%,7.70,B+ (3.37)
,"Ternansky, Robert J.",S118,43,93.8%,93.8%,8.63,B+ (3.30)
,"Ternansky, Robert J.",SP18,77,91.3%,75.0%,7.54,B+ (3.38)
,"Ternansky, Robert J.",WI18,94,79.1%,79.1%,6.95,B+ (3.41)
