Course Code,Professor,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
CSE 105,"Micciancio, Daniele",180,69.0%,70.2%,8.45,B- (2.90)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Jones, Miles E",57,88.9%,100.0%,10.28,B+ (3.31)
,"Meyer, Kyle Phillip",170,67.5%,46.2%,8.91,B+ (3.42)
,"Meyer, Kyle Phillip",170,67.5%,46.2%,8.91,B+ (3.42)
,"Meyer, Kyle Phillip",170,67.5%,46.2%,8.91,B+ (3.42)
,"Meyer, Kyle Phillip",170,67.5%,46.2%,8.91,B+ (3.42)
,"Meyer, Kyle Phillip",170,67.5%,46.2%,8.91,B+ (3.42)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Minnes Kemp, Mor Mia",141,96.2%,96.2%,8.65,A- (3.83)
,"Lovett, Shachar",297,83.0%,90.6%,8.67,B- (2.88)
,"Lovett, Shachar",297,83.0%,90.6%,8.67,B- (2.88)
,"Lovett, Shachar",297,83.0%,90.6%,8.67,B- (2.88)
,"Tiefenbruck, Janine LoBue",140,93.2%,97.5%,8.31,B- (2.84)
,"Tiefenbruck, Janine LoBue",140,93.2%,97.5%,8.31,B- (2.84)
,"Ferrante, Jeanne",215,82.7%,96.3%,9.03,B- (2.82)
,"Ferrante, Jeanne",215,82.7%,96.3%,9.03,B- (2.82)
,"Ferrante, Jeanne",215,82.7%,96.3%,9.03,B- (2.82)
,"Ferrante, Jeanne",215,82.7%,96.3%,9.03,B- (2.82)
,"Shacham, Hovav",122,73.5%,81.6%,7.23,C (2.02)
,"Shacham, Hovav",122,73.5%,81.6%,7.23,C (2.02)
,"Shacham, Hovav",122,73.5%,81.6%,7.23,C (2.02)
,"Shacham, Hovav",122,73.5%,81.6%,7.23,C (2.02)
,"Shacham, Hovav",122,73.5%,81.6%,7.23,C (2.02)
,"Lee, Cynthia Bailey",167,83.3%,91.7%,6.80,B- (2.71)
,"Tsiatas, Alexander S               ",152,80.0%,96.3%,6.76,B- (2.95)
,"Shacham, Hovav                     ",87,67.4%,81.4%,9.29,B- (2.73)
,"Shacham, Hovav                     ",87,67.4%,81.4%,9.29,B- (2.73)
,"Shacham, Hovav                     ",87,67.4%,81.4%,9.29,B- (2.73)
,"Micciancio, Daniele                ",86,81.0%,64.3%,7.55,B- (2.71)
,"Micciancio, Daniele                ",86,81.0%,64.3%,7.55,B- (2.71)
,"Micciancio, Daniele                ",86,81.0%,64.3%,7.55,B- (2.71)
,"Micciancio, Daniele                ",86,81.0%,64.3%,7.55,B- (2.71)
,"Lee, Cynthia Bailey                ",27,90.9%,100.0%,7.41,B- (2.74)
,"Lee, Cynthia Bailey                ",27,90.9%,100.0%,7.41,B- (2.74)
,"Lee, Cynthia Bailey                ",27,90.9%,100.0%,7.41,B- (2.74)
,"Paturi, Ramamohan                  ",17,66.7%,100.0%,7.17,N/A
,"Israeli, Amos",41,69.0%,65.5%,6.98,C+ (2.58)
,"Israeli, Amos                      ",51,80.0%,84.0%,7.22,C+ (2.65)
,"Lyubashevsky, Vadim                ",13,80.0%,90.0%,8.90,N/A
,"Micciancio, Daniele           ",58,82.1%,75.0%,6.71,B- (2.97)
,"Micciancio, Daniele           ",58,82.1%,75.0%,6.71,B- (2.97)
,"Paturi, Ramamohan             ",36,84.6%,96.3%,5.46,B+ (3.30)
,"Paturi, Ramamohan             ",36,84.6%,96.3%,5.46,B+ (3.30)
CSE 107,"Heninger, Nadia A",119,86.7%,91.1%,8.14,B (3.01)
,"Micciancio, Daniele",104,83.3%,81.0%,8.98,B+ (3.35)
,"Micciancio, Daniele",104,83.3%,81.0%,8.98,B+ (3.35)
,"Micciancio, Daniele",104,83.3%,81.0%,8.98,B+ (3.35)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir",78,93.8%,93.8%,7.63,B (3.02)
,"Bellare, Mihir                     ",33,88.2%,88.2%,8.03,C+ (2.50)
,"Bellare, Mihir                     ",33,88.2%,88.2%,8.03,C+ (2.50)
,"Bellare, Mihir                     ",33,88.2%,88.2%,8.03,C+ (2.50)
,"Bellare, Mihir                ",12,100.0%,88.9%,6.06,N/A
CSE 106,"Paturi, Ramamohan",25,50.0%,75.0%,8.50,B (3.12)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
CSE 101,"Jones, Miles E",382,87.6%,88.2%,9.26,B (3.11)
,"Braun, Oliver",30,100.0%,91.7%,11.54,B (3.01)
,"Braun, Oliver",30,100.0%,91.7%,11.54,B (3.01)
,"Braun, Oliver",30,100.0%,91.7%,11.54,B (3.01)
,"Braun, Oliver",30,100.0%,91.7%,11.54,B (3.01)
,"Braun, Oliver",30,100.0%,91.7%,11.54,B (3.01)
,"Braun, Oliver",30,100.0%,91.7%,11.54,B (3.01)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Dasgupta, Sanjoy",186,91.7%,96.4%,9.89,B+ (3.55)
,"Impagliazzo, Russell",152,90.5%,85.7%,9.88,B+ (3.42)
,"Impagliazzo, Russell",152,90.5%,85.7%,9.88,B+ (3.42)
,"Impagliazzo, Russell",152,90.5%,85.7%,9.88,B+ (3.42)
